"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
"176","Middle Aged","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Far","Low","Life Sciences","Moderate","Female","Low (< 50)","Low","Senior","Healthcare Representative","Moderate","Married","High ( > 9000)","Moderate (10000 - 19999)","Moderate","Yes","Very High","Fair","Low","Moderate Stock Level","Very High ( > 20)","Intensive Training","Good","Experts","Experts","Recently Promoted","Experienced"
"177","Adult","No","Non-Travel","Very High ( > 1200","Sales","Close-by","Low","Life Sciences","High","Male","Low (< 50)","Low","Associate","Sales Executive","High","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Moderate","No","Very High","Fair","High","Moderate Stock Level","High (10 > 19)","minimal Training","Good","Senior","Senior","Pending Promotion","Comfomrtable"
"178","Adult","No","Travel_Rarely","Very High ( > 1200","Research & Development","Very Far","Moderate","Life Sciences","Low","Female","High (70 - 89)","High","Associate","Manager","Low","Divorced","High ( > 9000)","Moderate (10000 - 19999)","High","No","Very High","Fair","Low","Moderate Stock Level","High (10 > 19)","Intensive Training","Moderate","Senior","Senior","Pending Promotion","Comfomrtable"
"179","Old","No","Travel_Rarely","High (800 - 1199)","Sales","Far","High","Marketing","Low","Male","High (70 - 89)","Moderate","Associate","Sales Executive","Low","Single","Moderate (4000 - 8999)","Moderate (10000 - 19999)","High","No","Slightly High","Fair","High","Low Stock Level","High (10 > 19)","minimal Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"180","Young","Yes","Travel_Rarely","Moderate (400 - 799)","Sales","Very Far","Low","Life Sciences","High","Female","Low (< 50)","Low","Associate","Sales Executive","Low","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","Low","Moderate Stock Level","High (10 > 19)","Intensive Training","Moderate","Experts","Experts","Pending Promotion","Experienced"
"181","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Close-by","Low","Life Sciences","High","Female","Moderate (50 - 69)","Low","Associate","Research Scientist","Low","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Moderate","No","Normal","Fair","Low","Moderate Stock Level","High (10 > 19)","minimal Training","Good","Senior","Junior","Recently Promoted","Comfomrtable"
"182","Young","No","Travel_Rarely","Low (< 400)","Research & Development","Close-by","Moderate","Life Sciences","Low","Male","High (70 - 89)","Moderate","Associate","Healthcare Representative","Low","Married","Moderate (4000 - 8999)","Low (< 10000)","Low","No","Normal","Fair","Low","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Moderate","Senior","Associate","Just Promoted","Comfomrtable"
"183","Adult","No","Travel_Rarely","Very High ( > 1200","Research & Development","Very Far","High","Life Sciences","High","Male","Low (< 50)","Moderate","Associate","Manufacturing Director","Moderate","Married","Moderate (4000 - 8999)","Low (< 10000)","Moderate","No","Slightly High","Fair","Low","Moderate Stock Level","High (10 > 19)","Intensive Training","Good","Senior","Senior","Just Promoted","Experienced"
"184","Middle Aged","No","Travel_Rarely","Low (< 400)","Research & Development","Far","High","Other","Moderate","Female","Moderate (50 - 69)","Moderate","Juniors","Laboratory Technician","Low","Married","Low (< 4000)","Moderate (10000 - 19999)","High","No","Slightly High","Fair","Moderate","Low Stock Level","High (10 > 19)","minimal Training","Moderate","Senior","Associate","Just Promoted","Comfomrtable"
"185","Adult","No","Travel_Frequently","Very High ( > 1200","Sales","Far","Low","Technical Degree","Low","Female","Fairly High ( > 90","Moderate","Associate","Sales Executive","High","Married","High ( > 9000)","High ( > 20000)","Low","No","Slightly High","Fair","Moderate","Moderate Stock Level","High (10 > 19)","Intensive Training","Good","Senior","Senior","Recently Promoted","Experienced"
"186","Adult","Yes","Travel_Frequently","Moderate (400 - 799)","Research & Development","Close-by","Moderate","Technical Degree","Moderate","Male","Low (< 50)","Moderate","Juniors","Research Scientist","High","Single","Low (< 4000)","Low (< 10000)","High","Yes","Very High","High","Moderate","Low Stock Level","Just Started ( < 5)","Intensive Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"187","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Close-by","Moderate","Medical","High","Male","Moderate (50 - 69)","Low","Juniors","Laboratory Technician","Low","Single","Low (< 4000)","High ( > 20000)","Low","No","Very High","Fair","Low","Low Stock Level","Just Started ( < 5)","Intensive Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"188","Adult","No","Travel_Frequently","High (800 - 1199)","Research & Development","Far","Moderate","Life Sciences","High","Male","Fairly High ( > 90","Low","Senior","Manager","Low","Divorced","High ( > 9000)","Moderate (10000 - 19999)","Moderate","No","Slightly High","Fair","Low","Moderate Stock Level","Very High ( > 20)","minimal Training","Moderate","Senior","Senior","Pending Promotion","Experienced"
"189","Adult","No","Travel_Rarely","Very High ( > 1200","Research & Development","Far","Low","Life Sciences","High","Male","High (70 - 89)","High","Juniors","Research Scientist","High","Single","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Moderate","No","Slightly High","Fair","Low","Low Stock Level","Just Started ( < 5)","minimal Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"190","Young","Yes","Travel_Frequently","Low (< 400)","Sales","Far","Moderate","Technical Degree","Low","Female","Moderate (50 - 69)","Moderate","Associate","Sales Executive","Low","Single","Moderate (4000 - 8999)","Moderate (10000 - 19999)","High","No","Normal","Fair","Low","Low Stock Level","Moderate (5 - 9)","Intensive Training","Moderate","Senior","Associate","Just Promoted","Newly Appointed"
"191","Adult","No","Travel_Rarely","Low (< 400)","Sales","Close-by","Low","Medical","Low","Male","Moderate (50 - 69)","Low","Associate","Sales Executive","Moderate","Married","Moderate (4000 - 8999)","Low (< 10000)","Low","No","Slightly High","Fair","Low","Higher Stock Level","High (10 > 19)","minimal Training","Good","Experts","Experts","Pending Promotion","Newly Appointed"
"192","Middle Aged","No","Travel_Rarely","Very High ( > 1200","Sales","Close-by","Moderate","Life Sciences","Moderate","Male","High (70 - 89)","Moderate","Associate","Sales Executive","High","Divorced","High ( > 9000)","Low (< 10000)","Moderate","Yes","Normal","Fair","Low","Moderate Stock Level","High (10 > 19)","Intensive Training","Moderate","Experts","Senior","Just Promoted","Comfomrtable"
"193","Adult","No","Travel_Frequently","Moderate (400 - 799)","Research & Development","Close-by","Low","Medical","Moderate","Female","Moderate (50 - 69)","Moderate","Associate","Laboratory Technician","High","Single","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Very High","High","High","Low Stock Level","High (10 > 19)","minimal Training","Good","Experts","Experts","Pending Promotion","Experienced"
"194","Adult","No","Travel_Frequently","High (800 - 1199)","Research & Development","Very Far","Moderate","Medical","Low","Female","High (70 - 89)","High","Juniors","Research Scientist","Moderate","Single","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Moderate","No","Normal","Fair","High","Low Stock Level","High (10 > 19)","minimal Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"195","Young","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Far","Moderate","Life Sciences","High","Male","Moderate (50 - 69)","Moderate","Juniors","Laboratory Technician","Low","Single","Low (< 4000)","Moderate (10000 - 19999)","Moderate","No","Slightly High","Fair","Low","Low Stock Level","High (10 > 19)","minimal Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"196","Middle Aged","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Far","High","Other","High","Male","High (70 - 89)","Moderate","Associate","Research Scientist","High","Married","Low (< 4000)","Low (< 10000)","High","No","Slightly High","Fair","Low","Higher Stock Level","High (10 > 19)","Intensive Training","Good","Experts","Experts","Pending Promotion","Experienced"
"197","Adult","No","Travel_Frequently","Very High ( > 1200","Sales","Very Far","Low","Medical","Moderate","Female","Moderate (50 - 69)","Moderate","Juniors","Sales Representative","High","Married","Low (< 4000)","High ( > 20000)","High","No","Slightly High","Fair","Low","Moderate Stock Level","High (10 > 19)","Intensive Training","Good","Senior","Associate","Just Promoted","Newly Appointed"
"198","Adult","Yes","Travel_Frequently","Low (< 400)","Sales","Far","Low","Marketing","High","Female","Low (< 50)","Low","Juniors","Sales Representative","Moderate","Divorced","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","High","Moderate Stock Level","Just Started ( < 5)","Intensive Training","Moderate","Junior","Junior","Recently Promoted","Newly Appointed"
"199","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Far","High","Life Sciences","High","Male","Fairly High ( > 90","High","Juniors","Research Scientist","Low","Married","Low (< 4000)","Low (< 10000)","High","No","Very High","Fair","Low","Moderate Stock Level","High (10 > 19)","minimal Training","Good","Experts","Experts","Pending Promotion","Experienced"
"200","Young","Yes","Travel_Rarely","High (800 - 1199)","Research & Development","Close-by","High","Medical","Low","Male","High (70 - 89)","Low","Juniors","Research Scientist","High","Married","Low (< 4000)","High ( > 20000)","High","Yes","Slightly High","Fair","High","Low Stock Level","Moderate (5 - 9)","Intensive Training","Moderate","Junior","Junior","Recently Promoted","Comfomrtable"
"201","Adult","Yes","Travel_Rarely","Very High ( > 1200","Sales","Far","High","Life Sciences","Moderate","Male","High (70 - 89)","Low","Juniors","Sales Representative","Low","Single","Low (< 4000)","Low (< 10000)","High","No","Very High","High","Low","Low Stock Level","High (10 > 19)","Intensive Training","Good","Senior","Associate","Just Promoted","Comfomrtable"
"202","Young","No","Non-Travel","Very High ( > 1200","Research & Development","Close-by","Low","Technical Degree","High","Male","Low (< 50)","Moderate","Associate","Manufacturing Director","Moderate","Married","Moderate (4000 - 8999)","High ( > 20000)","Low","No","Slightly High","Fair","Low","Moderate Stock Level","High (10 > 19)","minimal Training","Good","Experts","Senior","Just Promoted","Experienced"
"203","Adult","No","Travel_Frequently","High (800 - 1199)","Research & Development","Close-by","High","Other","Moderate","Male","Low (< 50)","Moderate","Juniors","Research Scientist","Moderate","Married","Low (< 4000)","Low (< 10000)","Moderate","No","Slightly High","Fair","Low","Moderate Stock Level","Moderate (5 - 9)","minimal Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"204","Adult","No","Travel_Rarely","Very High ( > 1200","Research & Development","Far","Low","Life Sciences","Moderate","Male","Low (< 50)","Moderate","Associate","Research Scientist","Low","Divorced","Low (< 4000)","Moderate (10000 - 19999)","Moderate","No","Slightly High","Fair","Low","Higher Stock Level","High (10 > 19)","minimal Training","Moderate","Junior","Junior","Just Promoted","Newly Appointed"
"205","Adult","Yes","Travel_Frequently","Moderate (400 - 799)","Sales","Close-by","Moderate","Life Sciences","Moderate","Female","Fairly High ( > 90","Low","Juniors","Sales Representative","High","Single","Low (< 4000)","Moderate (10000 - 19999)","High","No","Slightly High","Fair","Moderate","Low Stock Level","Just Started ( < 5)","Intensive Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"206","Adult","No","Non-Travel","Very High ( > 1200","Sales","Far","High","Technical Degree","Low","Male","High (70 - 89)","Moderate","Associate","Sales Executive","High","Divorced","Moderate (4000 - 8999)","High ( > 20000)","Moderate","No","Slightly High","Fair","High","Higher Stock Level","High (10 > 19)","Intensive Training","Good","Senior","Senior","Just Promoted","Experienced"
"207","Adult","No","Travel_Rarely","Very High ( > 1200","Sales","Far","High","Life Sciences","Moderate","Female","High (70 - 89)","Moderate","Juniors","Sales Representative","Moderate","Married","Low (< 4000)","Moderate (10000 - 19999)","Low","Yes","Very High","Fair","High","Moderate Stock Level","Just Started ( < 5)","minimal Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"208","Young","No","Travel_Rarely","High (800 - 1199)","Research & Development","Far","High","Medical","High","Male","High (70 - 89)","Low","Juniors","Laboratory Technician","Low","Married","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Normal","Fair","Moderate","Higher Stock Level","Moderate (5 - 9)","minimal Training","Good","Senior","Senior","Pending Promotion","Comfomrtable"
"209","Adult","No","Travel_Rarely","High (800 - 1199)","Sales","Close-by","Moderate","Marketing","High","Female","Fairly High ( > 90","Moderate","Juniors","Sales Representative","High","Married","Low (< 4000)","Low (< 10000)","Low","No","Slightly High","Fair","Low","Low Stock Level","Just Started ( < 5)","Intensive Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"210","Adult","No","Travel_Rarely","Very High ( > 1200","Sales","Close-by","Moderate","Life Sciences","Low","Male","Moderate (50 - 69)","Low","Juniors","Sales Representative","Low","Single","Low (< 4000)","Moderate (10000 - 19999)","Moderate","No","Slightly High","Fair","Low","Low Stock Level","Very High ( > 20)","Intensive Training","Moderate","Junior","Junior","Just Promoted","Newly Appointed"
"211","Young","No","Travel_Rarely","High (800 - 1199)","Research & Development","Far","Low","Life Sciences","Low","Female","Moderate (50 - 69)","Low","Juniors","Research Scientist","High","Married","Low (< 4000)","High ( > 20000)","Low","Yes","Very High","Fair","Low","Moderate Stock Level","Moderate (5 - 9)","minimal Training","Moderate","Senior","Associate","Recently Promoted","Comfomrtable"
"212","Adult","No","Travel_Frequently","High (800 - 1199)","Sales","Very Far","Moderate","Medical","Low","Female","High (70 - 89)","Moderate","Associate","Sales Executive","Moderate","Married","Moderate (4000 - 8999)","Low (< 10000)","Low","No","Normal","Fair","Low","Moderate Stock Level","High (10 > 19)","Intensive Training","Moderate","Experts","Senior","Just Promoted","Newly Appointed"
"213","Adult","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Far","Low","Medical","Low","Female","Low (< 50)","Moderate","Associate","Manufacturing Director","Low","Married","Moderate (4000 - 8999)","Low (< 10000)","Low","No","Normal","Fair","Low","Moderate Stock Level","High (10 > 19)","Intensive Training","Moderate","Experts","Experts","Pending Promotion","Experienced"
"214","Young","Yes","Travel_Frequently","Moderate (400 - 799)","Sales","Far","Moderate","Marketing","High","Male","Low (< 50)","Moderate","Juniors","Sales Representative","Low","Married","Low (< 4000)","High ( > 20000)","Low","No","Very High","Fair","Low","Moderate Stock Level","Just Started ( < 5)","Intensive Training","Moderate","Junior","Junior","Recently Promoted","Newly Appointed"
"215","Adult","No","Travel_Rarely","High (800 - 1199)","Sales","Close-by","Low","Life Sciences","Low","Male","Moderate (50 - 69)","Moderate","Juniors","Sales Representative","Moderate","Married","Low (< 4000)","Low (< 10000)","Low","No","Very High","Fair","Moderate","Moderate Stock Level","Just Started ( < 5)","minimal Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"216","Young","No","Travel_Rarely","High (800 - 1199)","Research & Development","Far","Moderate","Medical","High","Female","Moderate (50 - 69)","Low","Associate","Healthcare Representative","Low","Single","Moderate (4000 - 8999)","High ( > 20000)","High","No","Very High","Fair","Low","Low Stock Level","Moderate (5 - 9)","minimal Training","Moderate","Senior","Senior","Just Promoted","Experienced"
"217","Adult","No","Non-Travel","High (800 - 1199)","Research & Development","Far","Low","Medical","Moderate","Female","High (70 - 89)","Moderate","Associate","Manufacturing Director","Moderate","Single","Moderate (4000 - 8999)","Moderate (10000 - 19999)","High","Yes","Very High","Fair","Moderate","Low Stock Level","High (10 > 19)","Intensive Training","Good","Senior","Associate","Recently Promoted","Experienced"
"218","Young","Yes","Travel_Rarely","Very High ( > 1200","Research & Development","Far","Moderate","Life Sciences","Moderate","Female","Low (< 50)","Low","Juniors","Laboratory Technician","Low","Single","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","Low","Low Stock Level","Just Started ( < 5)","Intensive Training","Moderate","Junior","Junior","Recently Promoted","Newly Appointed"
"219","Adult","No","Travel_Rarely","Very High ( > 1200","Research & Development","Close-by","Low","Medical","Low","Male","Low (< 50)","Low","Juniors","Laboratory Technician","High","Single","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","High","Low Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Associate","Recently Promoted","Comfomrtable"
"220","Adult","Yes","Travel_Rarely","Moderate (400 - 799)","Sales","Close-by","Low","Life Sciences","Moderate","Male","Moderate (50 - 69)","Low","Associate","Sales Executive","High","Married","High ( > 9000)","Low (< 10000)","Low","Yes","Normal","Fair","Low","Moderate Stock Level","High (10 > 19)","Intensive Training","Good","Experts","Senior","Pending Promotion","Experienced"
"221","Adult","No","Travel_Rarely","High (800 - 1199)","Research & Development","Close-by","Low","Medical","Low","Male","Fairly High ( > 90","Moderate","Associate","Manufacturing Director","Low","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","No","Slightly High","Fair","Moderate","Low Stock Level","Moderate (5 - 9)","minimal Training","Good","Senior","Junior","Recently Promoted","Comfomrtable"
"222","Young","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Close-by","Low","Medical","Moderate","Male","Fairly High ( > 90","Moderate","Juniors","Research Scientist","High","Single","Low (< 4000)","High ( > 20000)","Low","No","Very High","Fair","Moderate","Low Stock Level","Just Started ( < 5)","minimal Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"223","Adult","No","Travel_Rarely","Moderate (400 - 799)","Sales","Close-by","Moderate","Marketing","Low","Male","High (70 - 89)","Moderate","Associate","Sales Executive","Moderate","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","High","No","Normal","Fair","Moderate","Low Stock Level","High (10 > 19)","minimal Training","Good","Experts","Experts","Pending Promotion","Experienced"
"224","Young","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Very Far","Moderate","Medical","Low","Female","Moderate (50 - 69)","Moderate","Associate","Healthcare Representative","Moderate","Married","Moderate (4000 - 8999)","High ( > 20000)","Moderate","No","Normal","Fair","Low","Moderate Stock Level","High (10 > 19)","Intensive Training","Moderate","Senior","Senior","Recently Promoted","Newly Appointed"
"225","Young","Yes","Travel_Rarely","Low (< 400)","Research & Development","Close-by","Moderate","Life Sciences","Moderate","Male","Moderate (50 - 69)","Moderate","Juniors","Laboratory Technician","Moderate","Single","Low (< 4000)","High ( > 20000)","Low","No","Slightly High","Fair","Moderate","Low Stock Level","Just Started ( < 5)","minimal Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"226","Middle Aged","No","Travel_Rarely","Very High ( > 1200","Research & Development","Far","Moderate","Medical","Moderate","Female","High (70 - 89)","Moderate","Associate","Manufacturing Director","Moderate","Divorced","Moderate (4000 - 8999)","High ( > 20000)","Moderate","No","Slightly High","Fair","Moderate","Moderate Stock Level","High (10 > 19)","Intensive Training","Moderate","Experts","Senior","Just Promoted","Experienced"
"227","Young","No","Non-Travel","Very High ( > 1200","Research & Development","Close-by","Moderate","Medical","Moderate","Male","High (70 - 89)","Low","Juniors","Research Scientist","Moderate","Divorced","Low (< 4000)","High ( > 20000)","Low","Yes","Slightly High","Fair","High","Moderate Stock Level","Just Started ( < 5)","minimal Training","Moderate","Junior","Junior","Just Promoted","Newly Appointed"
"228","Adult","No","Travel_Rarely","Very High ( > 1200","Research & Development","Close-by","Low","Life Sciences","Moderate","Male","Moderate (50 - 69)","Moderate","Juniors","Research Scientist","Moderate","Married","Low (< 4000)","Low (< 10000)","High","Yes","Slightly High","Fair","High","Low Stock Level","Moderate (5 - 9)","minimal Training","Good","Senior","Associate","Recently Promoted","Comfomrtable"
"229","Adult","Yes","Travel_Frequently","Moderate (400 - 799)","Sales","Close-by","High","Life Sciences","Low","Female","Moderate (50 - 69)","Low","Juniors","Sales Representative","Moderate","Single","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Normal","Fair","Low","Low Stock Level","Just Started ( < 5)","Intensive Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"230","Young","No","Travel_Frequently","Very High ( > 1200","Sales","Close-by","Low","Medical","Low","Female","Low (< 50)","Moderate","Associate","Sales Executive","High","Married","Moderate (4000 - 8999)","Low (< 10000)","Low","No","Slightly High","Fair","High","Moderate Stock Level","High (10 > 19)","Intensive Training","Good","Experts","Experts","Pending Promotion","Newly Appointed"
"231","Young","No","Travel_Rarely","Very High ( > 1200","Research & Development","Close-by","Low","Medical","High","Male","High (70 - 89)","Moderate","Juniors","Laboratory Technician","Low","Divorced","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Normal","Fair","Low","Moderate Stock Level","Moderate (5 - 9)","minimal Training","Good","Senior","Junior","Just Promoted","Comfomrtable"
"232","Young","No","Travel_Rarely","Very High ( > 1200","Sales","Very Far","Low","Technical Degree","Moderate","Male","Low (< 50)","Moderate","Juniors","Sales Representative","Moderate","Single","Low (< 4000)","High ( > 20000)","Low","No","Normal","Fair","Moderate","Low Stock Level","Just Started ( < 5)","minimal Training","Good","Junior","Junior","Recently Promoted","Comfomrtable"
"233","Adult","No","Travel_Rarely","Very High ( > 1200","Research & Development","Far","Low","Life Sciences","High","Male","Low (< 50)","High","Juniors","Laboratory Technician","High","Married","Low (< 4000)","Low (< 10000)","Low","No","Very High","Fair","High","Low Stock Level","Just Started ( < 5)","minimal Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"234","Middle Aged","No","Travel_Rarely","Low (< 400)","Sales","Close-by","Moderate","Life Sciences","Moderate","Female","Moderate (50 - 69)","Moderate","Senior","Manager","Low","Married","High ( > 9000)","Moderate (10000 - 19999)","High","No","Normal","Fair","High","Moderate Stock Level","Very High ( > 20)","minimal Training","Good","Experts","Experts","Pending Promotion","Newly Appointed"
"235","Adult","No","Travel_Rarely","Very High ( > 1200","Sales","Far","Low","Technical Degree","Low","Male","Moderate (50 - 69)","Moderate","Juniors","Sales Representative","Moderate","Married","Low (< 4000)","Low (< 10000)","Low","Yes","Very High","High","Low","Moderate Stock Level","High (10 > 19)","Intensive Training","Good","Experts","Experts","Pending Promotion","Experienced"
"236","Young","No","Travel_Rarely","Very High ( > 1200","Research & Development","Very Far","Low","Life Sciences","Moderate","Male","High (70 - 89)","Moderate","Juniors","Research Scientist","High","Divorced","Low (< 4000)","Moderate (10000 - 19999)","Low","No","Normal","Fair","Moderate","Higher Stock Level","Just Started ( < 5)","minimal Training","Moderate","Senior","Junior","Just Promoted","Comfomrtable"
"237","Young","No","Travel_Rarely","High (800 - 1199)","Research & Development","Very Far","High","Life Sciences","Moderate","Female","Fairly High ( > 90","Moderate","Juniors","Research Scientist","High","Divorced","Low (< 4000)","High ( > 20000)","Moderate","No","Very High","High","Low","Moderate Stock Level","High (10 > 19)","minimal Training","Good","Senior","Senior","Recently Promoted","Experienced"
"238","Middle Aged","No","Travel_Frequently","High (800 - 1199)","Research & Development","Far","Low","Medical","Low","Female","Low (< 50)","Low","Juniors","Laboratory Technician","Moderate","Single","Low (< 4000)","Low (< 10000)","Low","No","Slightly High","Fair","Low","Low Stock Level","Moderate (5 - 9)","Intensive Training","Moderate","Senior","Junior","Pending Promotion","Experienced"
"239","Adult","No","Travel_Rarely","Very High ( > 1200","Sales","Far","High","Life Sciences","Moderate","Female","Moderate (50 - 69)","Moderate","Associate","Sales Executive","High","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Low","Yes","Normal","Fair","High","Low Stock Level","High (10 > 19)","minimal Training","Good","Experts","Experts","Just Promoted","Experienced"
"240","Adult","No","Travel_Frequently","Low (< 400)","Research & Development","Close-by","Moderate","Medical","Moderate","Female","High (70 - 89)","Moderate","Juniors","Research Scientist","Moderate","Divorced","Low (< 4000)","High ( > 20000)","Low","No","Very High","High","Moderate","Moderate Stock Level","Just Started ( < 5)","minimal Training","Good","Junior","Junior","Just Promoted","Newly Appointed"
"241","Old","No","Travel_Frequently","Very High ( > 1200","Research & Development","Far","Moderate","Medical","Low","Female","Moderate (50 - 69)","Moderate","Juniors","Research Scientist","Moderate","Married","Low (< 4000)","Moderate (10000 - 19999)","Moderate","No","Very High","Fair","Low","Moderate Stock Level","High (10 > 19)","Intensive Training","Good","Senior","Associate","Just Promoted","Comfomrtable"
"242","Adult","No","Travel_Frequently","Low (< 400)","Research & Development","Very Far","Low","Technical Degree","High","Female","Low (< 50)","Moderate","Associate","Manufacturing Director","High","Single","Moderate (4000 - 8999)","Low (< 10000)","Moderate","No","Very High","High","High","Low Stock Level","Moderate (5 - 9)","Intensive Training","Moderate","Senior","Associate","Recently Promoted","Comfomrtable"
"243","Adult","No","Non-Travel","Low (< 400)","Research & Development","Close-by","Moderate","Medical","Low","Male","High (70 - 89)","Moderate","Associate","Manufacturing Director","Low","Single","High ( > 9000)","Low (< 10000)","Low","No","Very High","Fair","Low","Low Stock Level","High (10 > 19)","minimal Training","Good","Senior","Associate","Recently Promoted","Experienced"
"244","Young","No","Travel_Rarely","High (800 - 1199)","Research & Development","Far","Low","Medical","High","Male","Moderate (50 - 69)","Moderate","Juniors","Laboratory Technician","High","Married","Low (< 4000)","Low (< 10000)","Moderate","No","Normal","Fair","Moderate","Higher Stock Level","Moderate (5 - 9)","Intensive Training","Moderate","Junior","Junior","Recently Promoted","Comfomrtable"
"245","Adult","No","Travel_Rarely","High (800 - 1199)","Sales","Far","Moderate","Marketing","High","Male","Low (< 50)","Moderate","Associate","Sales Executive","Moderate","Single","High ( > 9000)","Moderate (10000 - 19999)","Low","No","Normal","Fair","Low","Low Stock Level","High (10 > 19)","Intensive Training","Good","Experts","Experts","Pending Promotion","Experienced"
"246","Adult","No","Travel_Rarely","Low (< 400)","Research & Development","Very Far","Moderate","Life Sciences","Low","Male","Moderate (50 - 69)","High","Juniors","Research Scientist","Low","Married","Low (< 4000)","High ( > 20000)","Low","Yes","Normal","Fair","Low","Moderate Stock Level","Moderate (5 - 9)","Intensive Training","Moderate","Senior","Senior","Recently Promoted","Experienced"
"247","Adult","Yes","Non-Travel","Very High ( > 1200","Sales","Very Far","Moderate","Life Sciences","Low","Female","Fairly High ( > 90","High","Senior","Sales Executive","Low","Single","High ( > 9000)","Moderate (10000 - 19999)","Moderate","Yes","Slightly High","Fair","High","Low Stock Level","Very High ( > 20)","minimal Training","Moderate","Junior","Junior","Just Promoted","Newly Appointed"
"248","Middle Aged","No","Travel_Rarely","Very High ( > 1200","Research & Development","Far","Moderate","Medical","Low","Female","High (70 - 89)","Moderate","Juniors","Research Scientist","Moderate","Married","Moderate (4000 - 8999)","High ( > 20000)","Moderate","Yes","Very High","Fair","Moderate","Moderate Stock Level","Moderate (5 - 9)","minimal Training","Moderate","Junior","Junior","Just Promoted","Comfomrtable"
"249","Young","No","Travel_Rarely","High (800 - 1199)","Sales","Close-by","High","Medical","Low","Male","Fairly High ( > 90","Moderate","Associate","Sales Executive","High","Single","Moderate (4000 - 8999)","High ( > 20000)","Low","No","Slightly High","Fair","Low","Low Stock Level","Just Started ( < 5)","Intensive Training","Good","Senior","Junior","Just Promoted","Comfomrtable"
"250","Young","Yes","Travel_Frequently","Low (< 400)","Research & Development","Close-by","Low","Medical","Moderate","Male","Low (< 50)","Low","Juniors","Laboratory Technician","Low","Single","Low (< 4000)","Low (< 10000)","High","No","Normal","Fair","Moderate","Low Stock Level","Moderate (5 - 9)","minimal Training","Moderate","Junior","Junior","Just Promoted","Newly Appointed"
"251","Adult","No","Travel_Rarely","Moderate (400 - 799)","Research & Development","Far","Moderate","Medical","Low","Male","High (70 - 89)","High","Associate","Laboratory Technician","Moderate","Married","Moderate (4000 - 8999)","Moderate (10000 - 19999)","Moderate","No","Normal","Fair","Low","Low Stock Level","Moderate (5 - 9)","Intensive Training","Good","Senior","Associate","Recently Promoted","Comfomrtable"
